BatteryMass,canard_mass,CfgID,CostPerFlight,CruiseSpeed,ENominal,EReserve,fuselage_mass,GUID,hops,hops,loiterTime,loiterTime,MaxTakeoffMass,MotorMass,payload_mass,prop_mass,Range,RotorRadius,tNominal,toolCostPerVehicle,tReserve,Vehicle,wing_mass,wire_mass
688.477236217,1000.0,TestOperatingCost,1110.00914962,30.0248756605,55.5560077002,92.3959290228,1000.0,749bf382-0598-4091-a0c5-f5bc24192455,2.0,2.0,1020.0,1020.0,8417.60378821,168.199594356,550.0,50.0,153690.634351,4.51237732083,5298.7767133,2000.0,6498.7767133,0.0,1000.0,250.0
866.211597602,1000.0,TestOperatingCost,126.505140527,43.4206148348,84.2250100906,400.611097538,1000.0,61f71bd3-a35d-4a29-b961-76051fba8fec,2.0,2.0,1020.0,1020.0,2258.19938991,22.8208196226,550.0,50.0,10824.9908842,8.37099709374,429.305334008,2000.0,1629.30533401,1.0,1000.0,250.0
240.230321962,1000.0,TestOperatingCost,273.287581517,41.0837662825,34.8071937319,46.6246783668,1000.0,46427219-da7e-4f03-aa12-cd8082c1bfa4,2.0,2.0,1020.0,1020.0,3673.62723021,553.0237114,550.0,50.0,105741.614866,0.927805855945,2753.80528697,2000.0,3953.80528697,0.0,1000.0,250.0
653.583331248,1000.0,TestOperatingCost,346.313162669,78.9657114973,135.477918087,250.329500136,1000.0,3433f6c5-f332-4160-b1f0-978d0d58617f,2.0,2.0,1020.0,1020.0,8906.79188833,904.104141053,550.0,50.0,26272.9294213,8.93617424282,512.713134892,2000.0,1712.71313489,0.0,1000.0,250.0
359.095231895,1000.0,TestOperatingCost,353.610462944,39.7901645056,34.6650520946,48.6597656008,1000.0,703b1805-d577-494d-a4ce-91df9b31b22f,2.0,2.0,1020.0,1020.0,4387.94496186,664.615910517,550.0,50.0,106881.775312,1.90888494331,2866.13554731,2000.0,4066.13554731,0.0,1000.0,250.0
28.5125563543,1000.0,TestOperatingCost,515.953913816,75.3906279147,153.97570753,230.591196782,1000.0,8360e474-640c-4302-87d1-b01542ae3e82,2.0,2.0,1020.0,1020.0,6916.80946662,498.793165582,550.0,50.0,89019.6606946,7.16744725522,1360.77887341,2000.0,2560.77887341,0.0,1000.0,250.0
244.846655016,1000.0,TestOperatingCost,262.269487692,63.4026549759,451.132760684,640.790659431,1000.0,ae87dd43-c4e3-49be-a3d6-8e41e62102c1,2.0,2.0,1020.0,1020.0,9446.88568823,963.633919368,550.0,50.0,120318.964824,6.95986507569,2077.69600137,2000.0,3277.69600137,1.0,1000.0,250.0
118.747284675,1000.0,TestOperatingCost,190.058421937,45.6859092751,28.5665624832,39.7275880433,1000.0,866b55ee-f9b7-4948-a548-8deb29ea2935,2.0,2.0,1020.0,1020.0,3264.8775883,949.512958644,550.0,50.0,74100.2818036,0.893657924944,1801.95046524,2000.0,3001.95046524,0.0,1000.0,250.0
750.771272514,1000.0,TestOperatingCost,155.967252194,42.2986981239,224.161857553,647.554356089,1000.0,b8615786-c114-47da-9afb-1c7b83d3eefc,2.0,2.0,1020.0,1020.0,4822.2704681,430.130646651,550.0,50.0,24102.6513891,6.69013964236,749.820170789,2000.0,1949.82017079,1.0,1000.0,250.0
588.605154146,1000.0,TestOperatingCost,247.943857676,56.9635493413,553.313137094,1175.04613339,1000.0,0f974cfb-b3fd-41d9-aa49-086ec9159d89,2.0,2.0,1020.0,1020.0,419.893016812,535.741679695,550.0,50.0,59844.9753377,9.39519900381,1230.58368079,2000.0,2430.58368079,1.0,1000.0,250.0
