"alum_rho","alum_stress","BatteryMass","bid_bearing","bid_minThk","bid_rho","bid_shear","bid_stress","canard_mass","canopy_rho","canopy_thk","CfgID","ConstraintsTest","core_minThk","core_rho","CostPerFlight","CruiseSpeed","ENominal","EReserve","fc","fuselage_mass","fuselageHeight","fuselageLength","glue_rho","glue_thk","GUID","hops","hops.1","loiterTime","loiterTime.1","MaxTakeoffMass","MotorMass","paint_rho","paint_thk","PartsPerTool","payload_mass","prop_mass","Range","rib_thk","rib_width","RotorRadius","steel_shear","tNominal","tReserve","uni_rho","uni_stress","Vehicle","winglet"
2800,3.5e+08,782.992109506,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,168.824031304,43.1224857836,41.9913077634,67.7818603478,0.4,500,1.65,5,1800,0.000254,"544e7ca7-8534-427a-8af3-b71eb292f43a",2,2,1020,1020,218.448156544,377.397505381,1800,0.00015,1000,550,50,84198.905996,0.0015,0.0254,4.18705503825,5e+08,2132.55223501,81.3934644634,1660,4.5e+08,1,0.2
2800,3.5e+08,123.83407841,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,120.324972277,37.9915462061,106.280950589,255.155907048,0.4,500,1.65,5,1800,0.000254,"636af45f-3a75-4ef1-8209-ec6aa120b889",2,2,1020,1020,2252.93525524,932.931510186,1800,0.00015,1000,550,50,29012.1021066,0.0015,0.0254,9.48737686603,5e+08,943.646258282,1423.44337251,1660,4.5e+08,1,0.2
2800,3.5e+08,100.050225389,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,767.376038826,53.4638839507,112.736458657,164.376279521,0.4,500,1.65,5,1800,0.000254,"986d104d-4faa-4b0f-8860-210592007e50",2,2,1020,1020,1774.78202909,473.737119227,1800,0.00015,1000,550,50,158953.304128,0.0015,0.0254,5.80567732088,5e+08,3153.09683438,571.01352322,1660,4.5e+08,0,0.2
2800,3.5e+08,575.117509229,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,372.043959061,38.2485605672,243.523972967,306.546073207,0.4,500,1.65,5,1800,0.000254,"731b63eb-58f2-4112-9067-1775e550812b",2,2,1020,1020,8370.81081337,340.775539868,1800,0.00015,1000,550,50,187001.207607,0.0015,0.0254,5.71827876031,5e+08,5069.10444823,3637.52091309,1660,4.5e+08,1,0.2
2800,3.5e+08,354.676751208,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,1007.67758915,62.7823695298,166.664833475,241.559453765,0.4,500,1.65,5,1800,0.000254,"3c36ac5e-2f15-4653-960d-540e044875e2",2,2,1020,1020,2496.96124713,684.589244035,1800,0.00015,1000,550,50,164662.568402,0.0015,0.0254,7.1495624975,5e+08,2802.75173167,1045.65250926,1660,4.5e+08,0,0.2
2800,3.5e+08,757.846666382,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,121.358975048,57.5103649911,50.5938751074,88.6410201277,0.4,500,1.65,5,1800,0.000254,"57e75d0b-e97c-46d1-a66f-1035531339e7",2,2,1020,1020,6156.67835512,295.451729175,1800,0.00015,1000,550,50,54990.9820133,0.0015,0.0254,1.65954676185,5e+08,1136.19254063,2485.71594557,1660,4.5e+08,1,0.2
2800,3.5e+08,439.060489058,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,182.429964176,61.9131306892,106.148249829,143.057277302,0.4,500,1.65,5,1800,0.000254,"bdc0769b-3954-408c-87e8-0202d33e9406",2,2,1020,1020,3747.54963131,711.843959011,1800,0.00015,1000,550,50,127924.420824,0.0015,0.0254,5.39843854948,5e+08,2246.19208882,1841.04700922,1660,4.5e+08,1,0.2
2800,3.5e+08,231.927263023,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,726.085061902,53.0706130397,106.43927756,154.973324407,0.4,500,1.65,5,1800,0.000254,"c84dfcf5-a3d5-4270-8b81-1cdb7784add8",2,2,1020,1020,3340.59219637,975.181603106,1800,0.00015,1000,550,50,148600.087681,0.0015,0.0254,5.56782531992,5e+08,2980.04467952,512.837511413,1660,4.5e+08,0,0.2
2800,3.5e+08,739.764763147,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",1,0.0064,52,413.915185084,70.5093545581,110.680987057,168.221687472,0.4,500,1.65,5,1800,0.000254,"1ac1a5c4-2486-4d4b-bbe1-e99882b5b4a9",2,2,1020,1020,4377.47874137,272.223704327,1800,0.00015,1000,550,50,76470.2720319,0.0015,0.0254,6.12902642028,5e+08,1264.54080329,678.438371741,1660,4.5e+08,0,0.2
2800,3.5e+08,256.483883419,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,377.925840377,36.4350865733,44.9645452576,81.5621087995,0.4,500,1.65,5,1800,0.000254,"0b059456-d986-4e84-9c7b-bd1969480c96",2,2,1020,1020,7374.10194579,411.262452954,1800,0.00015,1000,550,50,69816.3727509,0.0015,0.0254,4.53824336277,5e+08,2096.18517526,304.821024477,1660,4.5e+08,0,0.2
