CfgID,CruiseSpeed,EReserve,GUID,MaxTakeoffMass,Range,RotorRadius,tReserve,Vehicle
TestReserveMission,48.9721730373,292.319412795,04b2f5eb-7c24-49f7-9665-5dd019df1e8c,7004.58139679,91572.9156213,9.63822018383,3249.8969219,0.0
TestReserveMission,55.3907444559,538.832463661,291504a6-0da0-4e77-853d-ea7fdb5f48be,5003.86482167,99108.8364541,6.50636138879,3169.26709557,1.0
TestReserveMission,32.9556438742,305.056843922,62a4b584-079c-4986-8ded-d3f224e431d0,6281.24847739,93322.2168783,3.66535773583,4211.752195,1.0
TestReserveMission,38.4813543494,59.0533856678,052f58a6-e6bc-4e65-8640-610572fadec6,5727.60020243,126620.148264,1.16276168542,4670.428583,0.0
TestReserveMission,64.6562409793,300.532728199,0fab795a-d818-4c72-9f57-fb789c8334a0,475.360510798,55629.6411199,9.90535087083,2240.39089618,0.0
TestReserveMission,65.5200362333,12631.5940487,457afe4e-e3ff-42da-9f47-fafdc9ded196,5677.78748273,173157.757987,8.73711317354,4022.82146259,1.0
TestReserveMission,77.4234078318,6914.35615222,e44eb53c-a95f-4324-93f2-10a3c0b9c175,7381.14690602,65440.2142189,9.7048645919,2225.22518514,1.0
TestReserveMission,76.7421844684,207.811387291,2b23d2b9-0ee7-449f-ab14-c97c4a45b892,3769.3201583,80675.6635957,6.88056778063,2431.2557618,0.0
TestReserveMission,68.835410246,70.168476688,0d9d482a-06ae-455f-8f9a-c67913965cf0,1816.3382721,15917.7412081,4.41650706696,1611.24350027,0.0
TestReserveMission,55.5256762655,1511.40468024,885989a8-1fe3-415f-8313-a10b7bed62ef,3456.84826332,32138.0586451,8.55534726383,1958.79634804,1.0
TestReserveMission,55.5070817022,3401.12851155,38247f69-e110-4052-adcf-e8ba29e6fd90,7051.41538188,117506.958726,9.04738950159,3496.97237762,1.0
TestReserveMission,73.0881719091,172.254167207,dc9e92aa-dc56-448b-950f-dfb302b2dfbf,3138.70699605,127993.010136,4.71214349449,3131.21372983,0.0
TestReserveMission,38.6288768762,72.0380648689,62acf778-1340-4ddf-a86c-dddf992010f5,7902.21770078,110792.433572,3.33013535473,4248.12463968,0.0
TestReserveMission,40.8328389695,82.8014651696,cd9bc880-4101-4ab3-b53a-f4b919c6215e,3019.33888251,32599.6661305,5.01677442347,2178.36883629,0.0
TestReserveMission,43.69147152,200.990931753,26e271a6-de64-4708-ab5b-450642cea3d0,5947.80644886,103628.903631,1.53294288485,3751.83367888,1.0
TestReserveMission,46.7370626467,1113.94806986,5e5e5f59-bb9d-4764-8598-ace64651b284,4006.83231451,115928.935875,5.93541662949,3860.44976107,1.0
TestReserveMission,61.9606761872,1815.34647506,20126a62-f933-4e2e-95f8-18c96ecdb514,8240.01143549,153775.012811,7.85530360074,3861.81624659,1.0
TestReserveMission,41.4838579978,703.984250281,a8a46c02-016d-48f7-bb9d-a147c1fda5d1,878.814010308,174915.032399,3.83705582311,5596.46010862,1.0
TestReserveMission,42.5086464693,91.7599106194,509b0e7f-4c3d-4956-a0d9-e490d5078057,3550.15892559,151360.898201,3.91389451487,4940.70848576,0.0
TestReserveMission,75.5741976838,53.2599707776,5fc3423d-5775-4a23-ad54-ba8eda106f8c,4437.28628362,13082.7404869,1.92367329484,1553.11120578,1.0
TestReserveMission,38.4995983576,217.571133552,e21cb56c-7900-46f6-a5c2-3a4e7dd28fec,5342.76988479,49882.0335453,8.62341830382,2675.65075152,0.0
TestReserveMission,77.2269209049,409.35630384,b157957b-6e74-43ef-9915-b9a0c48761a7,1422.14132468,172934.575816,9.70229431922,3619.30429687,0.0
TestReserveMission,65.7019925469,188.104265356,ed882845-de67-41a0-990c-dc08c45e058c,4210.71016475,147209.878275,5.46607477243,3620.56946477,0.0
TestReserveMission,34.36470416,316.867874824,bb53ff09-6886-41fb-9230-0efa56c3ef37,7952.81770416,43045.8823596,4.01756486967,2632.61902908,1.0
TestReserveMission,48.9390846629,341.549952822,ac77e17c-2d59-4a58-9c63-94756f97cd9b,8571.531583,162037.042794,2.76255360208,4690.99455395,1.0
TestReserveMission,78.2821436041,94.3551781644,de5f34bb-6d0f-4012-8887-720ebf43efa6,2100.11957958,56951.8562111,3.60140890843,2107.52039723,0.0
TestReserveMission,67.5832821314,201.054665825,cbd1c308-97ba-45a0-8de5-e25de8e47678,4640.92539889,189604.548735,4.50171780882,4185.49483179,0.0
TestReserveMission,69.5908440527,181.430849596,b42d1ab7-5da6-4cfa-85cf-3f19cbe032b9,6796.96816997,183074.078242,2.72259305983,4010.72076125,0.0
TestReserveMission,78.8336860196,243.596983023,72cfdea7-4b0d-4f3e-8d47-0ed9741ecc20,6570.67631957,173679.078175,4.47987494946,3583.10741442,0.0
TestReserveMission,38.6433238371,1865.30029982,97273f45-f2c3-42f6-ade5-75d0b2ec45c4,3554.42852861,125252.211585,9.29958603406,4621.23804962,1.0
TestReserveMission,41.006539417,122.386781177,120fd1a5-39ea-46a2-8321-72b37a42aac0,3944.34656818,161385.349432,5.18583685736,5315.60031466,0.0
TestReserveMission,58.5624312553,199.615849314,00b1f746-a0c7-4505-85df-f537adb719ab,8788.95262911,158918.720473,5.92349106966,4093.66330029,0.0
